time,SC_AACGM_LAT_deg,SC_AACGM_LTIME_hr,ELE_TOTAL_ENERGY_FLUX_erg_per_cm2_s,ELE_TOTAL_COUNTS_#_per_cm2_s
2013-03-17 00:30:00,90.0,0.0,0.0005873583722859621,182652.1875
2013-03-17 00:30:00,90.0,0.25263157894736843,0.0005864613340236247,185612.6875
2013-03-17 00:30:00,90.0,0.5052631578947369,0.0005873300251550972,189918.75
2013-03-17 00:30:00,90.0,0.7578947368421053,0.0005899967509321868,194031.34375
2013-03-17 00:30:00,90.0,1.0105263157894737,0.0005948530742898583,197739.984375
2013-03-17 00:30:00,90.0,1.263157894736842,0.0005995873361825943,199969.796875
2013-03-17 00:30:00,90.0,1.5157894736842106,0.0006066782516427338,201115.65625
2013-03-17 00:30:00,90.0,1.7684210526315791,0.0006149458349682391,201619.96875
2013-03-17 00:30:00,90.0,2.0210526315789474,0.0006227610865607858,201556.671875
2013-03-17 00:30:00,90.0,2.2736842105263158,0.0006352470954880118,201373.953125
2013-03-17 00:30:00,90.0,2.526315789473684,0.0006418260163627565,200761.328125
2013-03-17 00:30:00,90.0,2.778947368421053,0.000649315188638866,199661.5625
2013-03-17 00:30:00,90.0,3.031578947368421,0.0006575282313860953,194517.46875
2013-03-17 00:30:00,90.0,3.2842105263157895,0.0006412653019651771,189883.296875
2013-03-17 00:30:00,90.0,3.5368421052631582,0.0006243768148124218,188803.71875
2013-03-17 00:30:00,90.0,3.7894736842105265,0.0006248747231438756,187663.109375
2013-03-17 00:30:00,90.0,4.042105263157895,0.0006589997210539877,185221.421875
2013-03-17 00:30:00,90.0,4.294736842105263,0.0006768083549104631,182622.90625
2013-03-17 00:30:00,90.0,4.5473684210526315,0.0006944421911612153,179921.921875
2013-03-17 00:30:00,90.0,4.8,0.0007118348148651421,177710.078125
2013-03-17 00:30:00,90.0,5.052631578947368,0.0007315723341889679,178331.046875
2013-03-17 00:30:00,90.0,5.305263157894737,0.0007550535374321043,180062.234375
2013-03-17 00:30:00,90.0,5.557894736842106,0.0007818819140084088,183716.15625
2013-03-17 00:30:00,90.0,5.810526315789474,0.0007986413547769189,189019.640625
2013-03-17 00:30:00,90.0,6.063157894736842,0.0008073484641499817,194332.609375
2013-03-17 00:30:00,90.0,6.315789473684211,0.0008127899491228163,199820.34375
2013-03-17 00:30:00,90.0,6.568421052631579,0.0008180039585568011,207212.21875
2013-03-17 00:30:00,90.0,6.821052631578947,0.0008259875467047095,215440.015625
2013-03-17 00:30:00,90.0,7.0736842105263165,0.0008385999244637787,225005.15625
2013-03-17 00:30:00,90.0,7.326315789473685,0.0008496921509504318,235129.9375
2013-03-17 00:30:00,90.0,7.578947368421053,0.0008569192723371089,247890.28125
2013-03-17 00:30:00,90.0,7.831578947368421,0.000869719369802624,260943.171875
2013-03-17 00:30:00,90.0,8.08421052631579,0.0008819084614515305,274530.46875
2013-03-17 00:30:00,90.0,8.336842105263159,0.0008880884852260351,292305.53125
2013-03-17 00:30:00,90.0,8.589473684210526,0.0008877881336957216,307158.75
2013-03-17 00:30:00,90.0,8.842105263157896,0.0008896675426512957,320520.71875
2013-03-17 00:30:00,90.0,9.094736842105263,0.0008920187829062343,330170.90625
2013-03-17 00:30:00,90.0,9.347368421052632,0.0008988477638922632,332284.9375
2013-03-17 00:30:00,90.0,9.6,0.000908310292288661,333464.0
2013-03-17 00:30:00,90.0,9.852631578947369,0.0009265966364182532,331243.875
2013-03-17 00:30:00,90.0,10.105263157894736,0.0009475392289459705,328117.15625
2013-03-17 00:30:00,90.0,10.357894736842105,0.000964573526289314,329863.28125
2013-03-17 00:30:00,90.0,10.610526315789475,0.0009826107416301966,334520.09375
2013-03-17 00:30:00,90.0,10.863157894736842,0.000996598624624312,336623.90625
2013-03-17 00:30:00,90.0,11.115789473684211,0.0010081167565658689,335179.28125
2013-03-17 00:30:00,90.0,11.368421052631579,0.0010168657172471285,332792.8125
2013-03-17 00:30:00,90.0,11.621052631578948,0.0010218864772468805,329601.53125
2013-03-17 00:30:00,90.0,11.873684210526315,0.0010216195369139314,324376.09375
2013-03-17 00:30:00,90.0,12.126315789473685,0.0010228384053334594,318342.03125
2013-03-17 00:30:00,90.0,12.378947368421054,0.0010201825061812997,309821.03125
2013-03-17 00:30:00,90.0,12.631578947368421,0.001011942746117711,301761.875
2013-03-17 00:30:00,90.0,12.88421052631579,0.0009980462491512299,291290.5625
2013-03-17 00:30:00,90.0,13.136842105263158,0.0009804337751120329,281252.09375
2013-03-17 00:30:00,90.0,13.389473684210527,0.0009644401143305004,273042.5
2013-03-17 00:30:00,90.0,13.642105263157895,0.000938558136112988,267444.5625
2013-03-17 00:30:00,90.0,13.894736842105264,0.0009099052986130118,265033.78125
2013-03-17 00:30:00,90.0,14.147368421052633,0.0008858913788571954,262997.6875
2013-03-17 00:30:00,90.0,14.4,0.0008684236090630293,257425.03125
2013-03-17 00:30:00,90.0,14.65263157894737,0.0008584618335589767,249971.296875
2013-03-17 00:30:00,90.0,14.905263157894737,0.0008390474831685424,240922.5625
2013-03-17 00:30:00,90.0,15.157894736842106,0.0008156524272635579,220124.375
2013-03-17 00:30:00,90.0,15.410526315789474,0.0007945550605654716,202838.0625
2013-03-17 00:30:00,90.0,15.663157894736843,0.0007798705482855439,192559.328125
2013-03-17 00:30:00,90.0,15.91578947368421,0.0007715699030086398,185678.734375
2013-03-17 00:30:00,90.0,16.16842105263158,0.0007626605220139027,180911.171875
2013-03-17 00:30:00,90.0,16.42105263157895,0.0007491821888834238,176990.96875
